Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.87994191660112E-16,3.02931995779659E-15,0.290021802789342,0,0,0,15.7210690668638,0.452286558477821,-1.81462746887865E-19,-8.6460708194349E-16,0.452286558477821,-4.45973926658705E-15,0.0259711861226642,0,0,0,0,0,0,package://urdf_27/meshes/base_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://urdf_27/meshes/base_link.STL,,27-1,Central,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_1,0.000260675613593785,0.00664906071919171,0.00660298092676892,0,0,0,0.480612354764446,0.000534391014211802,-4.07642532458142E-06,2.00643514346888E-07,0.000753633303436108,5.12388330769716E-06,0.00125180035576334,0,0,0,0,0,0,package://urdf_27/meshes/L_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_27/meshes/L_1.STL,,urdf_18-1,Coor_1,Axis1,J_1,revolute,0,0,0.5875,0,0,0,base_link,0,0,1,110,10,-1.5,1.5,,,,,,,,
L_2,-1.89709278178527E-07,1.89263069636402E-07,9.43326623758789E-05,0,0,0,0.0541264900291283,7.6386627131639E-06,1.23770133803746E-10,-3.10760577706026E-10,7.63871526374263E-06,9.89527981057309E-11,1.20953365970688E-05,0,0,0,0,0,0,package://urdf_27/meshes/L_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_27/meshes/L_2.STL,,urdf_17-1,Coor_2,Axis2,J_2,fixed,0,0,0.038257,0,0,0,L_1,0,0,0,110,10,-1.5,1.5,,,,,,,,
L_3,9.88982816648629E-05,-0.018190054654463,0.262597474845498,0,0,0,10.7298786454304,0.231941887221548,-1.22082055501224E-05,-0.000181605088118382,0.289497974396709,-0.0152065029516562,0.112810313132917,0,0,0,0,0,0,package://urdf_27/meshes/L_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_27/meshes/L_3.STL,,urdf_27-1,Coor_3,Axis3,J_3,revolute,0,0,0,0,-0.00049086,0,L_2,1,0,-0.00049086,110,10,-1.5,1.5,,,,,,,,
L_4,-0.0319527272024741,-0.0291590233534437,-1.56842095848098E-05,0,0,0,0.411102853330563,0.000499764323615815,-0.000192302754890007,-8.91849823971334E-08,0.00065933657506099,-9.43930917801879E-08,0.00068145679023892,0,0,0,0,0,0,package://urdf_27/meshes/L_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_27/meshes/L_4.STL,,Mount_1-1,Coor_4,Axis4,J_4,revolute,-0.13431,0.0040004,0.36897,0,0.00049086,0,L_3,-1,0,-0.00049086,110,10,-1.5,1.5,,,,,,,,
L_5,-7.84815656384996E-06,0.0456274969303291,-0.0486471088213665,0,0,0,1.58498115637524,0.00620523334087414,5.96541005401779E-07,-2.16575592108321E-07,0.00637115474300451,-0.000343105382955094,0.00307532951142594,0,0,0,0,0,0,package://urdf_27/meshes/L_5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_27/meshes/L_5.STL,,urdf_3-1,Coor_5,Axis5,J_5,revolute,-0.067,-0.041,-3.3642E-05,0,0,0,L_4,0,1,0,110,10,-1.5,1.5,,,,,,,,
L_6,-0.0312048043489707,0.000438184788449467,-0.0414272583831102,0,0,0,0.33003252214128,0.000786642188087408,2.13327955638473E-06,-0.000177804441328514,0.000799022255989124,8.44646185404472E-06,0.000332130061005886,0,0,0,0,0,0,package://urdf_27/meshes/L_6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_27/meshes/L_6.STL,,28-1,Coor_6,Axis6,J_6,revolute,0,0.039499,-0.1465,0,0,0,L_5,0,0,1,110,10,-1.5,1.5,,,,,,,,
L_7,0.0351211060156058,2.06484135345519E-14,1.85962356624714E-15,0,0,0,1.33548733204388,0.00177138550554334,-2.08401568212782E-20,2.69081605090401E-18,0.00142013898827827,-4.50443527798104E-20,0.00141885073894076,0,0,0,0,0,0,package://urdf_27/meshes/L_7.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://urdf_27/meshes/L_7.STL,,110nm-1,Coor_7,Axis7,J_7,fixed,-0.041001,0,-0.1,0,0,0,L_6,0,0,0,110,10,-1.5,1.5,,,,,,,,
L_8,-0.0234998367552957,-2.42482175160422E-05,-0.0727470197927882,0,0,0,0.488290930692474,0.00118054339153969,-4.47646918855351E-07,-0.000393760100201455,0.00135290762192932,-1.42592116149259E-07,0.000464380842197408,0,0,0,0,0,0,package://urdf_27/meshes/L_8.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_27/meshes/L_8.STL,,urdf_2-1,Coor_8,Axis8,J_8,revolute,0.0805,0,0,0,0,0,L_7,1,0,0,110,10,-1.5,1.5,,,,,,,,
L_9,9.21188586466837E-07,-0.0026007150060021,-0.0939892673020064,0,0,0,0.178860784904345,0.000836927539074858,-1.89721333338243E-10,1.51043618326038E-08,0.000763541245071024,2.88658971763978E-05,0.000108182350943721,0,0,0,0,0,0,package://urdf_27/meshes/L_9.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_27/meshes/L_9.STL,,urdf_10-1,Coor_9,Axis9,J_9,revolute,-0.041,0,-0.1417,0,0,0,L_8,0,0,1,110,10,-1.5,1.5,,,,,,,,
L_10,4.0302E-10,-5.333E-11,-0.009,0,0,0,0.020903,2.8598E-06,4.2446E-13,7.4888E-14,2.8598E-06,-1.0633E-14,1.0594E-06,0,0,0,0,0,0,package://urdf_27/meshes/L_10.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_27/meshes/L_10.STL,,Mount_8-1,Coor_10,Axis10,J_10,revolute,2.2E-05,-1.3226E-05,-0.181,0,0,0,L_9,-1,0,0,110,10,-1.5,1.5,,,,,,,,
L_11,8.7757E-08,-0.0054518,-0.0014719,0,0,0,0.02957,1.0465E-05,7.2906E-12,-1.2049E-11,7.3133E-06,2.3386E-06,6.0277E-06,0,0,0,0,0,0,package://urdf_27/meshes/L_11.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_27/meshes/L_11.STL,,Mount_7-1,Coor_11,Axis11,J_11,revolute,0,0,-0.018,0,0,0,L_10,0,-1,0,110,10,-1.5,1.5,,,,,,,,
L_12,0.00087106,0.00080531,-0.024517,0,0,0,0.07015,2.9863E-05,-2.125E-07,8.3807E-07,2.5413E-05,8.2675E-07,2.6722E-05,0,0,0,0,0,0,package://urdf_27/meshes/L_12.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_27/meshes/L_12.STL,,urdf_14-1,coor_12,Axis12,J_12,fixed,-2.2E-05,1.3226E-05,-0.012,0,-0.00049086,0,L_11,0,0,0,,,,,,,,,,,,
